rank,REGION,CONTROL,CCBASIC,college,ACCREDAGENCY,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,ENDOWBEGIN,SAT_AVG,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID
1,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Massachusetts Institute of Technology,New England Commission on Higher Education,-2.2483722679963174,-0.448816503713962,-1.7328370305196388,-0.12145565565903768,0.24284240662195675,3.0904795164826333,-0.10220716444089774,-0.33360114957919207,1.2864473775908516,0.9088313936280572,-0.3792490076818483,NA,-1.4404855451345722,1.347386907134444,NA,3.348111987744349,-0.613229194089892,1.6642753660655782,-0.9403690872111177,-1.7820795457363914,NA,-0.0032382814733416874,0.20162384412236797,-0.3635657894438667,4.823076731401678,2.435243087311138,2.437354786333698,2.4098335872925842,1.9061638474482665,2.157264318616988,2.090363414647801,2.6056109159311234,0.8917158000522517
2,Far West,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Stanford University,Western Association of Schools and Colleges Senior Colleges and University Commission,-2.335694854879816,-0.26917469642872643,-1.552827528657125,-0.029348788416507267,0.3723679940046743,2.1372506302474488,0.12342291151378817,0.6073251697467343,2.071063819438564,0.9834995046620469,-0.8292621073600314,NA,-1.900261958400101,1.4165532646916954,NA,3.8151318044085865,-0.7336405577267192,1.6394061048084467,-0.7893839911354333,-0.6603775500082587,NA,0.4512025207139733,-0.03899674076299989,-0.7457627178151117,7.852658441532548,1.9594647862278614,2.0913654247593767,1.9909856427966062,1.9061638474482665,1.6250023137263518,1.8581008130202674,2.0538840355642423,NA
3,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Harvard University,New England Commission on Higher Education,-2.343288123304468,-0.29308514635153693,-1.182157075117747,0.36809865242454853,-0.05334547501544626,1.6152443354043717,-0.08221462606516608,-0.03116054693871568,0.9815446152147977,1.0907152538390574,-0.24689221365885336,NA,-1.7722627178155046,1.4824820480654157,NA,3.875482975307346,-1.29885509300705,1.809938182000207,0.36298407995553433,-0.5913166223618058,-0.1349420956661665,-0.01775440456293263,-0.7270840024186885,-1.2442951755576661,11.760676361538103,2.193321917268794,2.3508574459401177,2.1306016242952657,2.092902367147988,1.89113331617167,2.090363414647801,2.0538840355642423,0.8917158000522517
4,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Yale University,New England Commission on Higher Education,-2.2791671899407397,-0.41827918752041,-1.2370120416616492,0.18136144212462382,0.19483641968990062,2.022510116163584,-0.07364639533270965,-0.19918310396120253,0.71323018432387,0.8628817868379098,-0.7763193897508334,NA,-1.585891635410121,1.5183406348557353,NA,3.2954801526582216,-0.6635503609828943,1.7218299421177974,-0.8635161973077446,-0.599164441063473,NA,-0.0894640457387377,-0.046255393142959914,-0.7812391274268865,8.62510742298799,2.193321917268794,2.3508574459401177,2.1306016242952657,2.092902367147988,1.89113331617167,1.8581008130202674,2.0538840355642423,NA
5,Mid East,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Princeton University,Middle States Commission on Higher Education,-2.3171335320639996,-0.4194433667301348,-1.1635170379426347,0.15865015979084926,-0.20370384917999945,2.1813815972027815,-0.09935108753007893,-0.19918310396120253,0.5831383390434202,1.1711270657218158,-0.5281504009577178,NA,-2.3004886227228982,1.3959505198874076,NA,3.7674122739304976,-0.39756705026273853,1.8376496445438684,-0.9787111440106859,-0.4801369053548374,NA,0.18800465876556902,-0.680823964470791,-1.0762267433873247,7.239360523275585,2.0804253712490333,2.177862765152957,2.1306016242952657,2.092902367147988,1.89113331617167,1.8581008130202674,2.0538840355642423,0.8917158000522517
6,Southwest,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Rice University,Southern Association of Colleges and Schools Commission on Colleges,-2.0952413547658355,-0.47639859575975085,-1.459627342781563,-0.007899243990164659,0.28541375352396864,2.489037481119957,-0.13362401045990463,-0.1655785925567052,0.19692817336708474,1.2036747038648368,-0.5579306796128917,NA,-1.4838063515082955,1.0502168404097434,NA,2.2035450140713646,-0.8953871655970841,1.565508871358683,-0.848214392564465,-1.0479837759251642,NA,-1.155306303685133,0.11536554984462774,0.10935422460522257,1.5921875231988953,2.298154424287143,2.177862765152957,2.2004096150445953,1.7816715009817856,2.157264318616988,1.8581008130202674,2.329747475747683,0.8917158000522517
7,Far West,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,California Institute of Technology,Western Association of Schools and Colleges Senior Colleges and University Commission,-2.272417618007716,-0.7585777257476757,-1.850002978477488,-0.7283515891337928,0.47109728788380856,4.019751592084923,-0.1536165488356363,-0.19918310396120253,1.7458342062374401,0.38615461639012977,-0.7564658706473841,NA,-0.11403124725636705,1.4260207164708083,NA,3.5544287812819686,-1.2916663548794785,1.3786341367693786,-0.940635429013718,-1.0047709519581571,NA,NA,-0.2764895071846168,-0.7455087101090607,0.5526454090419213,2.5642677113337213,2.523852126727278,2.4796415780419143,2.279640886847709,2.423395321062306,2.090363414647801,2.881474356114564,0.8917158000522517
8,Southeast,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Duke University,Southern Association of Colleges and Schools Commission on Colleges,-2.2281235521972453,-0.2437418583085834,-0.9366411568969809,0.13720061536450648,-0.25080406277371486,1.713593347476256,-0.007956626383877036,-0.4008101723881868,0.4855694550830828,0.4895412316679616,0.6862231842032613,NA,0.6603772461373517,1.5772546741651385,NA,2.3035455007350065,-1.0697140651906996,1.6600120641357847,-0.11710216130563446,-0.1779046882366975,-0.4499128116194671,-1.2583058069915685,0.5399114235489767,-0.03801257952197103,2.2133491886814873,2.2739623072829085,2.264360105546537,2.2004096150445953,1.9061638474482665,2.157264318616988,2.090363414647801,2.329747475747683,0.8917158000522517
9,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Brown University,New England Commission on Higher Education,-2.2310764899179434,-0.24535379875281782,-0.8807210453716436,-0.0533218086577138,-0.15841518226296533,1.3428932250514618,-0.05365385695697798,-0.06476505834321307,0.7376224053139542,1.0600821826456261,0.3056974013871506,NA,0.2788662171965557,1.55979139523579,NA,1.9537192368625462,-1.137108485136685,1.6408272054517112,-0.892063366749518,-0.23459634221608397,NA,-0.8955853001378921,0.9999101915367675,0.8556923669092615,0.8449944002791763,2.0965534492518563,2.177862765152957,1.9909856427966062,1.9061638474482665,1.89113331617167,1.8581008130202674,2.0538840355642423,NA
10,New England,"Private, Nonprofit",Doctoral Universities: Very High Research Activity,Dartmouth College,New England Commission on Higher Education,-2.1656900118167735,-0.46798068455097114,-0.48714997473141375,-0.22113295034615965,-0.22815972931519782,0.9230185965907259,0.2319538341249029,-0.23278761536569992,0.5424846373932796,0.9681829690653309,-0.3428508893255248,NA,0.6539641962512114,1.5432110910837682,NA,1.9305612294246504,-0.8378772605765099,1.61311574290805,-0.470826024154323,-0.3844815080031315,-0.8500130299502937,-0.8629461773284095,0.8056021672645474,0.25390577665701874,1.363300330735393,2.0320411372405647,2.177862765152957,1.9909856427966062,1.7816715009817856,1.89113331617167,1.8581008130202674,2.0538840355642423,NA
