college,rank,UNITID,OPEID,OPEID6,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,REGION,CCBASIC,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ENDOWBEGIN
Massachusetts Institute of Technology,1,166683,217800,2178,Cambridge,MA,02139-4307,New England Commission on Higher Education,42.359243,-71.093226,1,15,2,0.0726,730,780,780,800,690,780,755,790,735,34,36,35,36,34,36,8,10,35,36,35,9,1550,4360,NULL,0.2562,0.067,0.1557,0.3236,0.0018,0.0007,0.0764,0.1028,0.0158,NULL,16407,73160,NULL,19640,0.1896,0.9558,19.34846267,0.371888726,PrivacySuppressed,0.258513932,86738.81698,53870,153600,111222,17443750000
Stanford University,2,243744,130500,1305,Stanford,CA,94305,Western Association of Schools and Colleges Senior Colleges and University Commission,37.429434,-122.167359,8,15,2,0.0519,700,770,720,800,690,780,735,760,735,31,35,33,36,30,35,NULL,NULL,33,35,33,NULL,1491,6366,NULL,0.29,0.0743,0.17,0.248,0.0097,0.0035,0.0957,0.1067,0.0022,NULL,12894,74570,NULL,20971,0.1762,0.9523,19.70933014,0.494019139,PrivacySuppressed,0.303385417,80447.9067,44842,141300,97798,27699834000
Harvard University,3,166027,215500,2155,Cambridge,MA,2138,New England Commission on Higher Education,42.374471,-71.118313,1,15,2,0.0501,720,780,740,800,710,790,750,770,750,33,35,35,36,31,35,8,10,34,36,33,9,1520,6099,NULL,0.3596,0.1058,0.123,0.2066,0.0025,0.0016,0.0689,0.1123,0.0198,NULL,13872,75914,NULL,21143,0.1133,0.9763,22.46358974,0.501538462,0.063589744,0.25708061,62458.19385,33066,139100,84918,40929700000
Yale University,4,130794,142600,1426,New Haven,CT,6520,New England Commission on Higher Education,41.311158,-72.926688,1,15,2,0.0653,720,780,740,800,710,790,750,770,750,33,35,34,36,31,35,NULL,NULL,34,35,33,NULL,1520,4701,NULL,0.3493,0.091,0.1504,0.2389,0.0028,0.0011,0.0623,0.1004,0.0038,NULL,15296,76645,NULL,19490,0.184,0.9639,19.53214774,0.500683995,PrivacySuppressed,0.25,80258.1327,44004,124400,88655,30314816000
Princeton University,5,186131,262700,2627,Princeton,NJ,08544-0070,Middle States Commission on Higher Education,40.348732,-74.659365,2,15,2,0.0563,710,770,740,800,710,790,740,770,750,32,35,34,36,31,35,8,10,34,35,33,9,1506,4688,NULL,0.3631,0.0892,0.1064,0.2515,0.0019,0.0011,0.0591,0.1165,0.0113,NULL,9836,74150,NULL,20835,0.2136,0.9802,19.25682183,0.51364366,PrivacySuppressed,0.27739726,63667.64045,37036,116300,95689,25623628250
Rice University,6,227757,360400,3604,Houston,TX,77005-1827,Southern Association of Colleges and Schools Commission on Colleges,29.717897,-95.402035,6,15,2,0.1089,710,770,750,800,680,770,740,775,725,34,36,34,36,32,35,8,10,35,35,34,9,1533,4052,NULL,0.3075,0.076,0.1604,0.2759,0.0007,0.0012,0.0496,0.1182,0.0104,NULL,16076,67102,NULL,16378,0.1582,0.9419,19.56872038,0.451816746,PrivacySuppressed,0.144758735,84483.63507,65041,91600,77683,6506177000
California Institute of Technology,7,110404,113100,1131,Pasadena,CA,91125,Western Association of Schools and Colleges Senior Colleges and University Commission,34.137349,-118.125878,8,15,2,0.0669,740,780,790,800,730,800,760,795,765,35,36,35,36,35,36,8,10,36,36,36,9,1566,901,NULL,0.2342,0.0189,0.1809,0.3973,0,0.0011,0.0877,0.0755,0.0044,NULL,26542,74763,NULL,20228,0.1141,0.9156,19.34782609,0.456521739,PrivacySuppressed,PrivacySuppressed,74238.77174,44848,106300,112166,2987001000
Duke University,8,198419,292000,2920,Durham,NC,27708,Southern Association of Colleges and Schools Commission on Colleges,36.001135,-78.937624,5,15,2,0.0774,720,770,750,800,690,780,745,775,735,34,35,35,36,32,35,8,10,35,36,34,9,1530,6650,NULL,0.4057,0.0875,0.1012,0.2144,0.0051,0.0005,0.0567,0.0809,0.048,NULL,32459,77846,NULL,16663,0.1388,0.9552,21.316142,0.546550569,0.040187542,0.134588564,95583.18419,61560,114500,93115,8609004000
Brown University,9,217156,340100,3401,Providence,RI,2912,New England Commission on Higher Education,41.82617,-71.40385,1,15,2,0.0767,710,770,730,790,690,780,740,760,735,33,35,34,36,30,35,NULL,NULL,34,35,33,NULL,1508,6632,NULL,0.4162,0.0724,0.1114,0.185,0.0035,0.0015,0.0629,0.1107,0.0365,NULL,29544,77490,NULL,15666,0.1313,0.9525,19.46391753,0.540378007,PrivacySuppressed,0.170403587,107609.6323,82670.5,89100,78943,3976694000
Dartmouth College,10,182670,257300,2573,Hanover,NH,03755-3529,New England Commission on Higher Education,43.704115,-72.289949,1,15,2,0.0922,710,770,730,790,670,780,740,760,725,32,35,33,36,30,35,NULL,NULL,34,35,33,NULL,1500,4146,NULL,0.4901,0.0591,0.1037,0.1517,0.0135,0.001,0.0581,0.1059,0.0169,NULL,32410,77152,NULL,15600,0.1646,0.9486,20.4707113,0.524058577,0.010460251,0.173626374,102529.5418,68455.5,110200,91627,5731322087
